date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:06	336/336	---MCZ	200	added ('OK')	text/plain	etag:W/%2260460ddb-cc5%22	https://www.growtopiagame.com/robots.txt		(from )
20:19:06	35159/35159	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2017:19:06%20GMT	https://www.growtopiagame.com/	C:/Benim%20Web%20Sitem/growtopiagame/www.growtopiagame.com/index.html	(from )
20:19:06	4032/4032	---M--	200	added ('OK')	text/css	etag:%22011cd7deb65a43ee18676208a8208449%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/animate/animate.min.css	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/animate/animate.min.css	(from https://www.growtopiagame.com/)
20:19:07	3415/3415	---M--	200	added ('OK')	text/css	etag:%226dfec1c70c2838e366d36c2e273e7024%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/FlexSlider/css/flexslider.min.css	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/FlexSlider/css/flexslider.min.css	(from https://www.growtopiagame.com/)
20:19:07	147518/147518	---M--	200	added ('OK')	text/css	etag:%22e14331b47849659606ee1d2ed5d136f1%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/main-min.css	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/main-min.css	(from https://www.growtopiagame.com/)
20:19:08	4111/4111	---M--	200	added ('OK')	text/css	etag:%22bcc83348a0d66e8d6dd13a62da8c902e%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/hamburger-style-min.css	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/hamburger-style-min.css	(from https://www.growtopiagame.com/)
20:19:08	3554/3554	---M--	200	added ('OK')	text/css	etag:%22dc386572302f069945741ee3b604a588%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/slick-min.css	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/slick-min.css	(from https://www.growtopiagame.com/)
20:19:09	2048/2048	---M--	200	added ('OK')	text/css	etag:%2255eae4deaa42d3e5661638b54b3e6efd%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/set2-min.css	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/set2-min.css	(from https://www.growtopiagame.com/)
20:19:09	4927/4927	---M--	200	added ('OK')	text/css	etag:%22ecfd962e279b1f731828fefc9fce0246%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/magnific-popup/magnific-popup-min.css	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/magnific-popup/magnific-popup-min.css	(from https://www.growtopiagame.com/)
20:19:09	14575/14575	---M--	200	added ('OK')	text/css	etag:%227c89e8bdbe9e6fd7f66a276b97516109%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css	C:/Benim%20Web%20Sitem/growtopiagame/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/custom-min.css	(from https://www.growtopiagame.com/)
